"filename", "language", "C++", "comment", "blank", "total"
"/home/moonixiali/Documents/OpenGL-Projects/TestingGL/src/controller/app.cpp", "C++", 96, 3, 24, 123
"/home/moonixiali/Documents/OpenGL-Projects/TestingGL/src/controller/app.h", "C++", 39, 4, 12, 55
"Total", "-", 135, 7, 36, 178
