"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/moonixiali/Documents/OpenGL-Projects/TestingGL/src/glad.c", "C", 0, -9038, -641, -47, -9726
"/home/moonixiali/Documents/OpenGL-Projects/TestingGL/src/stb_image.h", "C++", -5842, 0, -1285, -861, -7988
"Total", "-", -5842, -9038, -1926, -908, -17714
